  Wakeup Alarm history(screen off): 
    rtc=2024-08-24 17:21:42.778 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 17:22:00.436 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:22:17.286 uid=15010401 tag=*walarm*:com.estmob.android.sendanywhere.ACTION_ALARM 
    rtc=2024-08-24 17:22:22.468 uid=1000 tag=*walarm*:com.samsung.android.location.lib.positioning.GpsStatusCheckListener 
    rtc=2024-08-24 17:23:00.462 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:23:45.095 uid=1073 tag=*walarm*:DhcpClient.wlan0.RENEW 
    rtc=2024-08-24 17:24:00.490 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:24:21.526 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:25:00.563 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:26:00.584 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:26:53.523 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:27:00.597 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:28:00.617 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:28:44.012 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:29:00.629 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:30:00.642 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:34:00.578 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:37:28.985 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:37:51.542 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 17:38:00.212 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:38:47.203 uid=10667 tag=*walarm*:com.migratorydata.api_service_broadcast 
    rtc=2024-08-24 17:39:00.231 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:40:00.249 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:41:00.261 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:41:51.454 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:42:00.278 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:43:00.291 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:44:00.307 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:45:00.319 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:45:03.119 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:46:00.332 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:46:14.015 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:47:00.346 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:48:00.363 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:48:13.465 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 17:48:13.466 uid=10438 tag=*walarm*:action_batch_upload 
    rtc=2024-08-24 17:48:13.469 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 17:48:13.471 uid=10264 tag=*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM 
    rtc=2024-08-24 17:48:13.472 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.CLOUD_SYNC_HEARTBEAT_NOTIFICATION 
    rtc=2024-08-24 17:49:00.381 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:50:00.393 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:50:36.489 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:51:00.406 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:52:00.423 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:53:00.441 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:53:47.233 uid=10667 tag=*walarm*:com.migratorydata.api_service_broadcast 
    rtc=2024-08-24 17:54:00.459 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:54:26.217 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:54:58.953 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:55:00.473 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:56:00.487 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:57:00.500 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:57:12.833 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:58:00.517 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:59:00.532 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:59:21.425 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:59:49.057 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:00:00.551 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:00:11.558 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:00:50.046 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:01:00.566 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:02:00.540 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:02:00.571 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:02:17.482 uid=10264 tag=*walarm*:FusedLocation:delay_request 
    rtc=2024-08-24 18:03:00.587 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:03:31.059 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:04:00.609 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:04:15.020 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:04:17.508 uid=10264 tag=*walarm*:NetworkLocationLocator 
    rtc=2024-08-24 18:05:00.629 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:05:37.207 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 18:06:00.651 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:06:17.528 uid=10264 tag=*walarm*:NetworkLocationLocator 
    rtc=2024-08-24 18:07:00.708 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:08:00.734 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 18:08:17.548 uid=10264 tag=*walarm*:NetworkLocationLocator 
    rtc=2024-08-24 18:08:37.486 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:08:47.250 uid=10667 tag=*walarm*:com.migratorydata.api_service_broadcast 
    rtc=2024-08-24 18:09:00.750 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
   
   
   
   
    rtc=2024-08-24 18:20:24.282 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 18:20:24.283 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 18:20:29.496 uid=1000 tag=*walarm*:com.samsung.android.location.lib.positioning.GpsStatusCheckListener 
    rtc=2024-08-24 18:23:45.204 uid=1073 tag=*walarm*:DhcpClient.wlan0.RENEW 
    rtc=2024-08-24 18:23:47.357 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 18:26:16.866 uid=1000 tag=*walarm*:DeviceIdleController.motion 
    rtc=2024-08-24 18:26:16.868 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:32:51.675 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 18:35:45.718 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 18:36:52.093 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 18:36:52.095 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 18:36:52.097 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:42:48.164 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 18:47:45.079 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 18:47:45.099 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 18:47:45.100 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 18:47:45.100 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:47:45.117 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:47:45.118 uid=10264 tag=*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION 
    rtc=2024-08-24 18:50:19.171 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 18:50:20.946 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 18:51:22.477 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 18:51:22.479 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 18:51:22.480 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.CLOUD_SYNC_HEARTBEAT_NOTIFICATION 
    rtc=2024-08-24 18:52:14.526 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 18:57:10.900 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 18:57:59.766 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 18:57:59.774 uid=10264 tag=*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION 
    rtc=2024-08-24 18:57:59.776 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 18:57:59.777 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 19:01:25.503 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 19:03:53.212 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 19:11:50.878 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 19:13:54.997 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
